origin,route,score,wape,mae,bias_pct
2025-07-01,1,0.8731750570814214,0.12682494291857863,78.1584699453552,9.53758506794351
2025-07-01,7,0.3916307223305828,0.6083692776694172,358.7766393442623,60.24622063258942
2025-07-01,11,0.8525021356543311,0.14749786434566894,165.702868852459,10.183833476723647
2025-07-01,12,0.8802182794511632,0.11978172054883683,140.78688524590163,6.829659504977537
2025-07-01,17,0.8981169788096596,0.10188302119034041,184.88114754098362,7.252633500650263
2025-07-01,25,0.7339737041354694,0.26602629586453064,60.47882513661202,18.27460430011898
2025-07-01,26,0.8215192510431988,0.17848074895680116,96.55942622950819,15.684786657155293
2025-07-01,28,0.7950829527642541,0.20491704723574589,64.02663934426229,15.479342149273446
2025-07-01,50,0.776560079649975,0.22343992035002508,185.33196721311475,-6.051652251108242
2025-09-01,1,0.905586954589105,0.09441304541089506,73.26639344262296,-4.871608222214208
2025-09-01,7,0.8448925011828313,0.1551074988171687,143.09016393442624,4.499571663286628
2025-09-01,11,0.8988480179711085,0.10115198202889157,131.76434426229508,-3.9974075291770994
2025-09-01,12,0.9192863091625143,0.08071369083748571,109.36065573770492,0.38677074658046706
2025-09-01,17,0.9352179626349768,0.06478203736502314,135.5389344262295,-1.123366606540921
2025-09-01,25,0.8300953422439978,0.16990465775600222,53.91188524590164,-12.081922430290803
2025-09-01,26,0.9073529033986444,0.09264709660135564,68.97677595628416,-5.560367131391497
2025-09-01,28,0.8582894361004643,0.14171056389953568,58.28756830601093,-2.970785367441431
2025-09-01,50,0.7514134397732967,0.2485865602267033,196.53620218579235,2.927530972992587
