"global_id";"Stop times code";"Trip code";"Arrival time";"Departure time";"Stop code";"Distance from the beginning of the route";"Type landing";"Destination is displayed";"Number stop";"Type of trip";"Interval on the route";
"global_id";"Код расписания";"Код рейса";"Время прибытия";"Время отправления";"Код остановки";"Расстояние от начала маршрута, км";"Тип посадки";"Пункт назначения рейса, отображающийся на информационном табло";"Номер остановки по пути следования";"Тип рейса";"Интервал на маршруте";
"5076946872";"";"4443_100031456_17_9";"23:47:00";"23:47:00";"728";"";"";"";"2";"";"";
"5076946887";"";"4443_100031456_17_9";"24:27:00";"24:27:00";"1000512";"";"";"";"31";"";"";
"5076946949";"";"4443_100031456_17_9";"24:25:00";"24:25:00";"858";"";"";"";"29";"";"";
"5076947038";"";"4443_100031456_17_9";"23:51:00";"23:51:00";"695";"";"";"";"6";"";"";
"5076947039";"";"4443_100031456_17_9";"23:54:00";"23:54:00";"698";"";"";"";"9";"";"";
"5076947048";"";"4443_100031456_17_9";"23:52:00";"23:52:00";"696";"";"";"";"7";"";"";
"5076947062";"";"4443_100031456_17_9";"24:01:00";"24:01:00";"775";"";"";"";"16";"";"";
"5076947064";"";"4443_100031456_17_9";"23:56:00";"23:56:00";"701";"";"";"";"11";"";"";
"5076947095";"";"4443_100031456_17_9";"23:59:00";"23:59:00";"14917";"";"";"";"13";"";"";
"5076947165";"";"4443_100031456_17_9";"24:26:00";"24:26:00";"859";"";"";"";"30";"";"";
"5076947206";"";"4443_100031456_17_9";"23:46:00";"23:46:00";"10650";"";"";"";"1";"";"";
"5076947260";"";"4443_100031456_17_9";"24:02:00";"24:02:00";"776";"";"";"";"17";"";"";
"5076947542";"";"4443_100031456_17_9";"23:48:00";"23:48:00";"729";"";"";"";"3";"";"";
"5076947733";"";"4443_100031456_17_9";"24:00:00";"24:00:00";"773";"";"";"";"14";"";"";
"5077018843";"";"4450_100019733_3_8";"07:02:00";"07:02:00";"2608";"";"";"";"18";"";"";
"5077018924";"";"4450_100019733_3_8";"06:44:00";"06:44:00";"2595";"";"";"";"2";"";"";
"5077019141";"";"4450_100019733_3_8";"06:56:00";"06:56:00";"2602";"";"";"";"12";"";"";
"5077019172";"";"4450_100019733_3_8";"07:01:00";"07:01:00";"2607";"";"";"";"17";"";"";
"5077019180";"";"4450_100019733_3_8";"07:00:00";"07:00:00";"2606";"";"";"";"16";"";"";
"5077019283";"";"4450_100019733_3_8";"06:49:00";"06:49:00";"2598";"";"";"";"7";"";"";
"5077019289";"";"4450_100019733_3_8";"06:59:00";"06:59:00";"2605";"";"";"";"15";"";"";
"5077019332";"";"4450_100019733_3_8";"06:52:00";"06:52:00";"2600";"";"";"";"9";"";"";
"5077019392";"";"4450_100019733_3_8";"06:45:00";"06:45:00";"7879";"";"";"";"3";"";"";
"5077019450";"";"4450_100019733_3_8";"06:53:00";"06:53:00";"3805";"";"";"";"10";"";"";
"5077019628";"";"4450_100019733_3_8";"07:05:00";"07:05:00";"2610";"";"";"";"20";"";"";
"5077019647";"";"4450_100019733_3_8";"07:07:00";"07:07:00";"2611";"";"";"";"21";"";"";
"5077019733";"";"4450_100019733_3_8";"06:50:00";"06:50:00";"2599";"";"";"";"8";"";"";
"5077019771";"";"4450_100019733_3_8";"07:10:00";"07:10:00";"2612";"";"";"";"22";"";"";
"5077019788";"";"4450_100019733_3_8";"06:54:00";"06:54:00";"7883";"";"";"";"11";"";"";
"5077019804";"";"4450_100019733_3_8";"06:57:00";"06:57:00";"2603";"";"";"";"13";"";"";
"5077019923";"";"4450_100019733_3_8";"06:48:00";"06:48:00";"7880";"";"";"";"6";"";"";
"5077019951";"";"4450_100019733_3_8";"06:43:00";"06:43:00";"2594";"";"";"";"1";"";"";
"5077019960";"";"4450_100019733_3_8";"06:47:00";"06:47:00";"3804";"";"";"";"5";"";"";
"5077020023";"";"4450_100019733_3_8";"06:58:00";"06:58:00";"2604";"";"";"";"14";"";"";
