"global_id";"Stop code";"Stop name";"Station Name";"Street";"Direction";"Pavilion";"Operating organization name";"Pavilion electrification";"Transport type";"Geodata";"Centroid";
"global_id";"Код остановки";"Наименование остановки";"Название остановки согласно указателю";"Наименование улицы, на которой находится остановка";"Направление";"Наличие павильона";"Балансодержатель остановки с павильоном";"Электроподключение остановочного павильона";"Вид транспорта";"Геоданные";"Центроид";
"5107799780";"1004230";"С/т «Зенино»";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.96900091, 55.70956999]]]";"{type=Point, coordinates=[37.96900091, 55.70956999]}";
"5107799781";"1004031";"Суханово";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.66026758, 55.52907054]]]";"{type=Point, coordinates=[37.66026758, 55.52907054]}";
"5107799782";"1004098";"Малое Павлино";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.97307268, 55.71361394]]]";"{type=Point, coordinates=[37.97307268, 55.71361394]}";
"5107799783";"1004073";"Дроздово";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.79502766, 55.60168731]]]";"{type=Point, coordinates=[37.79502766, 55.60168731]}";
"5107799784";"1003962";"Локомотив";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.87040828, 55.7832105]]]";"{type=Point, coordinates=[37.87040828, 55.7832105]}";
"5107799785";"1004381";"Стадион Родина";"";"";"";"";"";"Не подключено";"[Троллейбус, Автобус]";"[Geometry[type=Point, coordinates=[37.45786201, 55.90311152]]]";"{type=Point, coordinates=[37.45786201, 55.90311152]}";
"5107799786";"1004429";"Улица Павлова";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.45465647, 55.91119572]]]";"{type=Point, coordinates=[37.45465647, 55.91119572]}";
"5107799787";"1004288";"Мкр. Велтон парк";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.26297176, 55.9417902]]]";"{type=Point, coordinates=[37.26297176, 55.9417902]}";
"5107799788";"1004337";"Подрезково";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.33378123, 55.94935637]]]";"{type=Point, coordinates=[37.33378123, 55.94935637]}";
"5107799789";"1004573";"Троицкое";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.00259526, 56.0216988]]]";"{type=Point, coordinates=[37.00259526, 56.0216988]}";
